Type,Content,text_cleaned,text_processed,sentiment
h3,Camp David Summit (2000),camp david summit ,camp david summit,0.0
p,"In July 2000, US President Bill Clinton convened a peace summit between Palestinian President Yasser Arafat and Israeli Prime Minister Ehud Barak. Barak reportedly put forward the following as ""bases for negotiation"", via the US to the Palestinian President: a non-militarized Palestinian state split into 3–4 parts containing 87–92%[en 1] of the West Bank including only parts of East Jerusalem, and the entire Gaza Strip,[53][54] as well as a stipulation that 69 Jewish settlements (which comprise 85% of the West Bank's Jewish settlers) would be ceded to Israel, no right of return to Israel, no sovereignty over the Temple Mount or any core East Jerusalem neighbourhoods, and continued Israel control over the Jordan Valley.[55][56]",in july  us president bill clinton convened a peace summit between palestinian president yasser arafat and israeli prime minister ehud barak barak reportedly put forward the following as bases for negotiation via the us to the palestinian president a nonmilitarized palestinian state split into  parts containing en  of the west bank including only parts of east jerusalem and the entire gaza strip as well as a stipulation that  jewish settlements which comprise  of the west banks jewish settlers would be ceded to israel no right of return to israel no sovereignty over the temple mount or any core east jerusalem neighbourhoods and continued israel control over the jordan valley,july us president bill clinton convened peace summit between palestinian president yasser arafat israeli prime minister ehud barak barak reportedly put forward following bases negotiation via us palestinian president nonmilitarized palestinian state split into parts containing en west bank including only parts east jerusalem entire gaza strip well stipulation jewish settlements comprise west banks jewish settlers would ceded israel no right return israel no sovereignty over temple mount any core east jerusalem neighbourhoods continued israel control over jordan valley,-0.023809523809523808
p,"Arafat rejected this offer.[53][57][58][59][60][61] According to the Palestinian negotiators the offer did not remove many of the elements of the Israeli occupation regarding land, security, settlements, and Jerusalem.[62] President Clinton reportedly requested that Arafat make a counter-offer, but he proposed none. Former Israeli Foreign Minister Shlomo Ben Ami who kept a diary of the negotiations said in an interview in 2001, when asked whether the Palestinians made a counterproposal: ""No. And that is the heart of the matter. Never, in the negotiations between us and the Palestinians, was there a Palestinian counterproposal.""[63] In a separate interview in 2006 Ben Ami stated that were he a Palestinian he would have rejected the Camp David offer.[64]",arafat rejected this offer according to the palestinian negotiators the offer did not remove many of the elements of the israeli occupation regarding land security settlements and jerusalem president clinton reportedly requested that arafat make a counteroffer but he proposed none former israeli foreign minister shlomo ben ami who kept a diary of the negotiations said in an interview in  when asked whether the palestinians made a counterproposal no and that is the heart of the matter never in the negotiations between us and the palestinians was there a palestinian counterproposal in a separate interview in  ben ami stated that were he a palestinian he would have rejected the camp david offer,arafat rejected offer according palestinian negotiators offer did remove many elements israeli occupation regarding land security settlements jerusalem president clinton reportedly requested arafat make counteroffer but he proposed none former israeli foreign minister shlomo ben ami who kept diary negotiations said interview when asked whether palestinians made counterproposal no heart matter never negotiations between us palestinians there palestinian counterproposal separate interview ben ami stated were he palestinian he would rejected camp david offer,0.125
p,"No tenable solution was crafted which would satisfy both Israeli and Palestinian demands, even under intense US pressure. Clinton has long blamed Arafat for the collapse of the summit.[65] In the months following the summit, Clinton appointed former US Senator George J. Mitchell to lead a fact-finding committee aiming to identify strategies for restoring the peace process. The committee's findings were published in 2001 with the dismantlement of existing Israeli settlements and Palestinian crackdown on militant activity being one strategy.[66]",no tenable solution was crafted which would satisfy both israeli and palestinian demands even under intense us pressure clinton has long blamed arafat for the collapse of the summit in the months following the summit clinton appointed former us senator george j mitchell to lead a factfinding committee aiming to identify strategies for restoring the peace process the committees findings were published in  with the dismantlement of existing israeli settlements and palestinian crackdown on militant activity being one strategy,no tenable solution crafted would satisfy both israeli palestinian demands even under intense us pressure clinton long blamed arafat collapse summit months following summit clinton appointed former us senator george j mitchell lead factfinding committee aiming identify strategies restoring peace process committees findings were published dismantlement existing israeli settlements palestinian crackdown militant activity being one strategy,0.037500000000000006
h3,Developments following Camp David,developments following camp david,developments following camp david,0.0
p,Following the failed summit Palestinian and Israeli negotiators continued to meet in small groups through August and September 2000 to try to bridge the gaps between their respective positions. The United States prepared its own plan to resolve the outstanding issues. Clinton's presentation of the US proposals was delayed by the advent of the Second Intifada at the end of September.[62],following the failed summit palestinian and israeli negotiators continued to meet in small groups through august and september  to try to bridge the gaps between their respective positions the united states prepared its own plan to resolve the outstanding issues clintons presentation of the us proposals was delayed by the advent of the second intifada at the end of september,following failed summit palestinian israeli negotiators continued meet small groups through august september try bridge gaps between respective positions united states prepared own plan resolve outstanding issues clintons presentation us proposals delayed advent second intifada end september,0.049999999999999996
p,"Clinton's plan, eventually presented on 23 December 2000, proposed the establishment of a sovereign Palestinian state in the Gaza strip and 94–96 percent of the West Bank plus the equivalent of 1–3 percent of the West Bank in land swaps from pre-1967 Israel. On Jerusalem, the plan stated that ""the general principle is that Arab areas are Palestinian and that Jewish areas are Israeli."" The holy sites were to be split on the basis that Palestinians would have sovereignty over the Temple Mount/Noble sanctuary, while the Israelis would have sovereignty over the Western Wall. On refugees the plan suggested a number of proposals including financial compensation, the right of return to the Palestinian state, and Israeli acknowledgment of suffering caused to the Palestinians in 1948. Security proposals referred to a ""non-militarized"" Palestinian state, and an international force for border security. Both sides accepted Clinton's plan[62][67][68] and it became the basis for the negotiations at the Taba Peace summit the following January.[62]",clintons plan eventually presented on  december  proposed the establishment of a sovereign palestinian state in the gaza strip and  percent of the west bank plus the equivalent of  percent of the west bank in land swaps from pre israel on jerusalem the plan stated that the general principle is that arab areas are palestinian and that jewish areas are israeli the holy sites were to be split on the basis that palestinians would have sovereignty over the temple mountnoble sanctuary while the israelis would have sovereignty over the western wall on refugees the plan suggested a number of proposals including financial compensation the right of return to the palestinian state and israeli acknowledgment of suffering caused to the palestinians in  security proposals referred to a nonmilitarized palestinian state and an international force for border security both sides accepted clintons plan and it became the basis for the negotiations at the taba peace summit the following january,clintons plan eventually presented december proposed establishment sovereign palestinian state gaza strip percent west bank plus equivalent percent west bank land swaps pre israel jerusalem plan stated general principle arab areas palestinian jewish areas israeli holy sites were split basis palestinians would sovereignty over temple mountnoble sanctuary while israelis would sovereignty over western wall refugees plan suggested number proposals including financial compensation right return palestinian state israeli acknowledgment suffering caused palestinians security proposals referred nonmilitarized palestinian state international force border security both sides accepted clintons plan became basis negotiations taba peace summit following january,0.047959183673469394
h3,Taba Summit (2001),taba summit ,taba summit,0.0
p,"The Israeli negotiation team presented a new map at the Taba Summit in Taba, Egypt, in January 2001. The proposition removed the ""temporarily Israeli controlled"" areas, and the Palestinian side accepted this as a basis for further negotiation. With Israeli elections looming the talks ended without an agreement but the two sides issued a joint statement attesting to the progress they had made: ""The sides declare that they have never been closer to reaching an agreement and it is thus our shared belief that the remaining gaps could be bridged with the resumption of negotiations following the Israeli elections."" The following month the Likud party candidate Ariel Sharon defeated Ehud Barak in the Israeli elections and was elected as Israeli prime minister on 7 February 2001. Sharon's new government chose not to resume the high-level talks.[62]",the israeli negotiation team presented a new map at the taba summit in taba egypt in january  the proposition removed the temporarily israeli controlled areas and the palestinian side accepted this as a basis for further negotiation with israeli elections looming the talks ended without an agreement but the two sides issued a joint statement attesting to the progress they had made the sides declare that they have never been closer to reaching an agreement and it is thus our shared belief that the remaining gaps could be bridged with the resumption of negotiations following the israeli elections the following month the likud party candidate ariel sharon defeated ehud barak in the israeli elections and was elected as israeli prime minister on  february  sharons new government chose not to resume the highlevel talks,israeli negotiation team presented new map taba summit taba egypt january proposition removed temporarily israeli controlled areas palestinian side accepted basis further negotiation israeli elections looming talks ended without agreement but two sides issued joint statement attesting progress made sides declare never been closer reaching agreement thus our shared belief remaining gaps could bridged resumption negotiations following israeli elections following month likud party candidate ariel sharon defeated ehud barak israeli elections elected israeli prime minister february sharons new government chose resume highlevel talks,0.05454545454545454
h3,Roadmap for Peace (2002–2003),roadmap for peace ,roadmap peace,0.0
p,"One peace proposal, presented by the Quartet of the European Union, Russia, the United Nations and the United States on 17 September 2002, was the Road Map for Peace. This plan did not attempt to resolve difficult questions such as the fate of Jerusalem or Israeli settlements, but left that to be negotiated in later phases of the process. The proposal never made it beyond the first phase, whose goals called for a halt to both Israeli settlement construction and Israeli–Palestinian violence. Neither goal has been achieved as of November 2015.[69][70][71]",one peace proposal presented by the quartet of the european union russia the united nations and the united states on  september  was the road map for peace this plan did not attempt to resolve difficult questions such as the fate of jerusalem or israeli settlements but left that to be negotiated in later phases of the process the proposal never made it beyond the first phase whose goals called for a halt to both israeli settlement construction and israelipalestinian violence neither goal has been achieved as of november ,one peace proposal presented quartet european union russia united nations united states september road map peace plan did attempt resolve difficult questions such fate jerusalem israeli settlements but left negotiated later phases process proposal never made beyond first phase whose goals called halt both israeli settlement construction israelipalestinian violence neither goal been achieved november,-0.041666666666666664
h3,"Arab Peace Initiative (2002, 2007, 2017)",arab peace initiative   ,arab peace initiative,0.0
p,"The Arab Peace Initiative (Arabic: مبادرة السلام العربية Mubādirat as-Salām al-ʿArabīyyah), also known as the Saudi Initiative, was first proposed by Crown Prince Abdullah of Saudi Arabia at the Beirut Summit (2002). The peace initiative is a proposed solution to the Arab–Israeli conflict as a whole, and the Israeli–Palestinian conflict in particular.[72] The initiative was initially published on 28 March 2002, at the Beirut Summit, and agreed upon again in 2007 in the Riyadh Summit. Unlike the Road Map for Peace, it spelled out ""final-solution"" borders based explicitly on the UN borders established before the 1967 Six-Day War. It offered full normalization of relations with Israel, in exchange for the withdrawal of its forces from all the occupied territories, including the Golan Heights, to recognize ""an independent Palestinian state with East Jerusalem as its capital"" in the West Bank and Gaza Strip, as well as a ""just solution"" for the Palestinian refugees.[73]",the arab peace initiative arabic    mubdirat assalm alarabyyah also known as the saudi initiative was first proposed by crown prince abdullah of saudi arabia at the beirut summit  the peace initiative is a proposed solution to the arabisraeli conflict as a whole and the israelipalestinian conflict in particular the initiative was initially published on  march  at the beirut summit and agreed upon again in  in the riyadh summit unlike the road map for peace it spelled out finalsolution borders based explicitly on the un borders established before the  sixday war it offered full normalization of relations with israel in exchange for the withdrawal of its forces from all the occupied territories including the golan heights to recognize an independent palestinian state with east jerusalem as its capital in the west bank and gaza strip as well as a just solution for the palestinian refugees,arab peace initiative arabic mubdirat assalm alarabyyah also known saudi initiative first proposed crown prince abdullah saudi arabia beirut summit peace initiative proposed solution arabisraeli conflict whole israelipalestinian conflict particular initiative initially published march beirut summit agreed upon again riyadh summit unlike road map peace spelled out finalsolution borders based explicitly un borders established before sixday war offered full normalization relations israel exchange withdrawal forces all occupied territories including golan heights recognize independent palestinian state east jerusalem capital west bank gaza strip well just solution palestinian refugees,0.16111111111111112
p,"The Palestinian Authority led by Yasser Arafat immediately embraced the initiative.[74] His successor Mahmoud Abbas also supported the plan and officially asked U.S. President Barack Obama to adopt it as part of his Middle East policy.[75] Islamist political party Hamas, the elected government of the Gaza Strip, was deeply divided,[76] with most factions rejecting the plan.[77] Palestinians have criticised the Israel–United Arab Emirates normalization agreement and another with Bahrain signed in September 2020, fearing the moves weaken the Arab Peace Initiative, regarding the UAE's move as ""a betrayal.""[78]",the palestinian authority led by yasser arafat immediately embraced the initiative his successor mahmoud abbas also supported the plan and officially asked us president barack obama to adopt it as part of his middle east policy islamist political party hamas the elected government of the gaza strip was deeply divided with most factions rejecting the plan palestinians have criticised the israelunited arab emirates normalization agreement and another with bahrain signed in september  fearing the moves weaken the arab peace initiative regarding the uaes move as a betrayal,palestinian authority led yasser arafat immediately embraced initiative his successor mahmoud abbas also supported plan officially asked us president barack obama adopt part his middle east policy islamist political party hamas elected government gaza strip deeply divided most factions rejecting plan palestinians criticised israelunited arab emirates normalization agreement another bahrain signed september fearing moves weaken arab peace initiative regarding uaes move betrayal,0.125
p,"The Israeli government under Ariel Sharon rejected the initiative as a ""non-starter""[79] because it required Israel to withdraw to pre-June 1967 borders.[80] After the renewed Arab League endorsement in 2007, then-Prime Minister Ehud Olmert gave a cautious welcome to the plan.[81] In 2015, Israeli Prime Minister Benjamin Netanyahu expressed tentative support for the Initiative,[82] but in 2018, he rejected it as a basis for future negotiations with the Palestinians.[83]",the israeli government under ariel sharon rejected the initiative as a nonstarter because it required israel to withdraw to prejune  borders after the renewed arab league endorsement in  thenprime minister ehud olmert gave a cautious welcome to the plan in  israeli prime minister benjamin netanyahu expressed tentative support for the initiative but in  he rejected it as a basis for future negotiations with the palestinians,israeli government under ariel sharon rejected initiative nonstarter because required israel withdraw prejune borders after renewed arab league endorsement thenprime minister ehud olmert gave cautious welcome plan israeli prime minister benjamin netanyahu expressed tentative support initiative but he rejected basis future negotiations palestinians,0.4
h2,Current status,current status,current status,0.0
p,"The peace process has been predicated on a ""two-state solution"" thus far, but questions have been raised towards both sides' resolve to end the dispute.[84] An article by S. Daniel Abraham, an American entrepreneur and founder of the Center for Middle East Peace in Washington, US, published on the website of the Atlantic magazine in March 2013, cited the following statistics: ""Right now, the total number of Jews and Arabs living... in Israel, the West Bank, and Gaza is just under 12 million people. At the moment, a shade under 50 percent of the population is Jewish.""[85]",the peace process has been predicated on a twostate solution thus far but questions have been raised towards both sides resolve to end the dispute an article by s daniel abraham an american entrepreneur and founder of the center for middle east peace in washington us published on the website of the atlantic magazine in march  cited the following statistics right now the total number of jews and arabs living in israel the west bank and gaza is just under  million people at the moment a shade under  percent of the population is jewish,peace process been predicated twostate solution thus far but questions been raised towards both sides resolve end dispute article s daniel abraham american entrepreneur founder center middle east peace washington us published website atlantic magazine march cited following statistics right now total number jews arabs living israel west bank gaza just under million people moment shade under percent population jewish,0.03571428571428571
p,"In April 2021, Human Rights Watch released its report A Threshold Crossed, making accusations that the policies of Israel towards Palestinians living in Israel, the West Bank and Gaza constituted the crime of apartheid.[86] A further report titled Israel's Apartheid Against Palestinians: Cruel System of Domination and Crime Against Humanity was released by Amnesty International on 1 February 2022.[87]",in april  human rights watch released its report a threshold crossed making accusations that the policies of israel towards palestinians living in israel the west bank and gaza constituted the crime of apartheid a further report titled israels apartheid against palestinians cruel system of domination and crime against humanity was released by amnesty international on  february ,april human rights watch released report threshold crossed making accusations policies israel towards palestinians living israel west bank gaza constituted crime apartheid further report titled israels apartheid against palestinians cruel system domination crime against humanity released amnesty international february,-0.25
h3,Israel's settlements policy,israels settlements policy,israels settlements policy,0.0
p,"Israel has had its settlement growth and policies in the Palestinian territories harshly criticized by the European Union citing it as increasingly undermining the viability of the two-state solution and running in contrary to the Israeli-stated commitment to resume negotiations.[88][89] In December 2011, all the regional groupings on the UN Security Council named continued settlement construction and settler violence as disruptive to the resumption of talks, a call viewed by Russia as a ""historic step"".[90][91][92] In April 2012, international outrage followed Israeli steps to further entrench the Jewish settlements in the West Bank, including East Jerusalem, which included the publishing of tenders for further settler homes and the plan to legalize settler outposts. Britain said that the move was a breach of Israeli commitments under the road map to freeze all settlement expansion in the land captured since 1967. The British Foreign Minister stated that the ""Systematic, illegal Israeli settlement activity poses the most significant and live threat to the viability of the two state solution"".[93]
In May 2012 the 27 foreign ministers of the European Union issued a statement which condemned continued Israeli settler violence and incitement.[94] In a similar move, the Quartet ""expressed its concern over ongoing settler violence and incitement in the West Bank,"" calling on Israel ""to take effective measures, including bringing the perpetrators of such acts to justice.""[95] The Palestinian Ma'an News agency reported the PA Cabinet's statement on the issue stated that the West, including East Jerusalem, were seeing ""an escalation in incitement and settler violence against our people with a clear protection from the occupation military. The last of which was the thousands of settler march in East Jerusalem which included slogans inciting to kill, hate and supports violence"".[96]","israel has had its settlement growth and policies in the palestinian territories harshly criticized by the european union citing it as increasingly undermining the viability of the twostate solution and running in contrary to the israelistated commitment to resume negotiations in december  all the regional groupings on the un security council named continued settlement construction and settler violence as disruptive to the resumption of talks a call viewed by russia as a historic step in april  international outrage followed israeli steps to further entrench the jewish settlements in the west bank including east jerusalem which included the publishing of tenders for further settler homes and the plan to legalize settler outposts britain said that the move was a breach of israeli commitments under the road map to freeze all settlement expansion in the land captured since  the british foreign minister stated that the systematic illegal israeli settlement activity poses the most significant and live threat to the viability of the two state solution
in may  the  foreign ministers of the european union issued a statement which condemned continued israeli settler violence and incitement in a similar move the quartet expressed its concern over ongoing settler violence and incitement in the west bank calling on israel to take effective measures including bringing the perpetrators of such acts to justice the palestinian maan news agency reported the pa cabinets statement on the issue stated that the west including east jerusalem were seeing an escalation in incitement and settler violence against our people with a clear protection from the occupation military the last of which was the thousands of settler march in east jerusalem which included slogans inciting to kill hate and supports violence",israel settlement growth policies palestinian territories harshly criticized european union citing increasingly undermining viability twostate solution running contrary israelistated commitment resume negotiations december all regional groupings un security council named continued settlement construction settler violence disruptive resumption talks call viewed russia historic step april international outrage followed israeli steps further entrench jewish settlements west bank including east jerusalem included publishing tenders further settler homes plan legalize settler outposts britain said move breach israeli commitments under road map freeze all settlement expansion land captured since british foreign minister stated systematic illegal israeli settlement activity poses most significant live threat viability two state solution may foreign ministers european union issued statement condemned continued israeli settler violence incitement similar move quartet expressed concern over ongoing settler violence incitement west bank calling israel take effective measures including bringing perpetrators such acts justice palestinian maan news agency reported pa cabinets statement issue stated west including east jerusalem were seeing escalation incitement settler violence against our people clear protection occupation military last thousands settler march east jerusalem included slogans inciting kill hate supports violence,-0.006301652892561985
h3,Israeli Military Police,israeli military police,israeli military police,-0.1
p,"In a report published in February 2014 covering incidents over the three-year period of 2011–2013, Amnesty International asserted that Israeli forces employed reckless violence in the West Bank, and in some instances appeared to engage in wilful killings which would be tantamount to war crimes. Besides the numerous fatalities, Amnesty said at least 261 Palestinians, including 67 children, had been gravely injured by Israeli use of live ammunition. In this same period, 45 Palestinians, including 6 children had been killed. Amnesty's review of 25 civilians deaths concluded that in no case was there evidence of the Palestinians posing an imminent threat. At the same time, over 8,000 Palestinians suffered serious injuries from other means, including rubber-coated metal bullets. Only one IDF soldier was convicted, killing a Palestinian attempting to enter Israel illegally. The soldier was demoted and given a 1-year sentence with a five-month suspension. The IDF answered the charges stating that its army held itself ""to the highest of professional standards"", adding that when there was suspicion of wrongdoing, it investigated and took action ""where appropriate"".[97][98]",in a report published in february  covering incidents over the threeyear period of  amnesty international asserted that israeli forces employed reckless violence in the west bank and in some instances appeared to engage in wilful killings which would be tantamount to war crimes besides the numerous fatalities amnesty said at least  palestinians including  children had been gravely injured by israeli use of live ammunition in this same period  palestinians including  children had been killed amnestys review of  civilians deaths concluded that in no case was there evidence of the palestinians posing an imminent threat at the same time over  palestinians suffered serious injuries from other means including rubbercoated metal bullets only one idf soldier was convicted killing a palestinian attempting to enter israel illegally the soldier was demoted and given a year sentence with a fivemonth suspension the idf answered the charges stating that its army held itself to the highest of professional standards adding that when there was suspicion of wrongdoing it investigated and took action where appropriate,report published february covering incidents over threeyear period amnesty international asserted israeli forces employed reckless violence west bank some instances appeared engage wilful killings would tantamount war crimes besides numerous fatalities amnesty said least palestinians including children been gravely injured israeli use live ammunition same period palestinians including children been killed amnestys review civilians deaths concluded no case there evidence palestinians posing imminent threat same time over palestinians suffered serious injuries other means including rubbercoated metal bullets only one idf soldier convicted killing palestinian attempting enter israel illegally soldier demoted given year sentence fivemonth suspension idf answered charges stating army held itself highest professional standards adding when there suspicion wrongdoing investigated took action where appropriate,-0.04442640692640692
h3,Incitement,incitement,incitement,0.0
p,"Following the Oslo Accords, which was to set up regulative bodies to rein in frictions, Palestinian incitement against Israel, Jews, and Zionism continued, parallel with Israel's pursuance of settlements in the Palestinian territories,[99] though under Abu Mazen it has reportedly dwindled significantly.[100] Charges of incitement have been reciprocal,[101][102] both sides interpreting media statements in the Palestinian and Israeli press as constituting incitement.[100] Schoolbooks published for both Israeli and Palestinian schools have been found to have encouraged one-sided narrative and even hatred of the other side.[103][104][105][106][107][108] 
Perpetrators of murderous attacks, whether against Israelis or Palestinians, often find strong vocal support from sections of their communities despite varying levels of condemnation from politicians.[109][110][111]","following the oslo accords which was to set up regulative bodies to rein in frictions palestinian incitement against israel jews and zionism continued parallel with israels pursuance of settlements in the palestinian territories though under abu mazen it has reportedly dwindled significantly charges of incitement have been reciprocal both sides interpreting media statements in the palestinian and israeli press as constituting incitement schoolbooks published for both israeli and palestinian schools have been found to have encouraged onesided narrative and even hatred of the other side 
perpetrators of murderous attacks whether against israelis or palestinians often find strong vocal support from sections of their communities despite varying levels of condemnation from politicians",following oslo accords set up regulative bodies rein frictions palestinian incitement against israel jews zionism continued parallel israels pursuance settlements palestinian territories though under abu mazen reportedly dwindled significantly charges incitement been reciprocal both sides interpreting media statements palestinian israeli press constituting incitement schoolbooks published both israeli palestinian schools been found encouraged onesided narrative even hatred other side perpetrators murderous attacks whether against israelis palestinians often find strong vocal support sections communities despite varying levels condemnation politicians,0.13666666666666666
p,"Both parties to the conflict have been criticized by third-parties for teaching incitement to their children by downplaying each side's historical ties to the area, teaching propagandist maps, or indoctrinate their children to one day join the armed forces.[112][113]",both parties to the conflict have been criticized by thirdparties for teaching incitement to their children by downplaying each sides historical ties to the area teaching propagandist maps or indoctrinate their children to one day join the armed forces,both parties conflict been criticized thirdparties teaching incitement children downplaying each sides historical ties area teaching propagandist maps indoctrinate children one day join armed forces,0.0
h3,United Nations and Palestinian statehood,united nations and palestinian statehood,united nations palestinian statehood,0.0
p,"The PLO have campaigned for full member status for the state of Palestine at the UN and for recognition on the 1967 borders. The campaign has received widespread support,[114][115] although it has been criticised by the US and Israel for allegedly avoiding bilateral negotiation.[116][117] Netanyahu has criticized the Palestinians of purportedly trying to bypass direct talks,[118] whereas Abbas has argued that the continued construction of Israeli-Jewish settlements is ""undermining the realistic potential"" for the two-state solution.[119] Although Palestine has been denied full member status by the UN Security Council,[120] in late 2012 the UN General Assembly overwhelmingly approved the de facto recognition of sovereign Palestine by granting non-member state status.[121]",the plo have campaigned for full member status for the state of palestine at the un and for recognition on the  borders the campaign has received widespread support although it has been criticised by the us and israel for allegedly avoiding bilateral negotiation netanyahu has criticized the palestinians of purportedly trying to bypass direct talks whereas abbas has argued that the continued construction of israelijewish settlements is undermining the realistic potential for the twostate solution although palestine has been denied full member status by the un security council in late  the un general assembly overwhelmingly approved the de facto recognition of sovereign palestine by granting nonmember state status,plo campaigned full member status state palestine un recognition borders campaign received widespread support although been criticised us israel allegedly avoiding bilateral negotiation netanyahu criticized palestinians purportedly trying bypass direct talks whereas abbas argued continued construction israelijewish settlements undermining realistic potential twostate solution although palestine been denied full member status un security council late un general assembly overwhelmingly approved de facto recognition sovereign palestine granting nonmember state status,0.12407407407407407
h3,Public attitudes towards peace,public attitudes towards peace,public attitudes towards peace,0.0
p,"Polling data has produced mixed results regarding the level of support among Palestinians for the two-state solution. A poll was carried out in 2011 by the Hebrew University; it indicated that support for a two-state solution was growing among both Israelis and Palestinians. The poll found that 58% of Israelis and 50% of Palestinians supported a two-state solution based on the Clinton Parameters, compared with 47% of Israelis and 39% of Palestinians in 2003, the first year the poll was carried out. The poll also found that an increasing percentage of both populations supported an end to violence—63% of Palestinians and 70% of Israelis expressing their support for an end to violence, an increase of 2% for Israelis and 5% for Palestinians from the previous year.[122]",polling data has produced mixed results regarding the level of support among palestinians for the twostate solution a poll was carried out in  by the hebrew university it indicated that support for a twostate solution was growing among both israelis and palestinians the poll found that  of israelis and  of palestinians supported a twostate solution based on the clinton parameters compared with  of israelis and  of palestinians in  the first year the poll was carried out the poll also found that an increasing percentage of both populations supported an end to violence of palestinians and  of israelis expressing their support for an end to violence an increase of  for israelis and  for palestinians from the previous year,polling data produced mixed results regarding level support among palestinians twostate solution poll carried out hebrew university indicated support twostate solution growing among both israelis palestinians poll found israelis palestinians supported twostate solution based clinton parameters compared israelis palestinians first year poll carried out poll also found increasing percentage both populations supported end violence palestinians israelis expressing support end violence increase israelis palestinians previous year,0.02777777777777778
h2,Issues in dispute,issues in dispute,issues dispute,0.0
p,"The following outlined positions are the official positions of the two parties; however, it is important to note that neither side holds a single position. Both the Israeli and the Palestinian sides include both moderate and extremist bodies as well as dovish and hawkish bodies.",the following outlined positions are the official positions of the two parties however it is important to note that neither side holds a single position both the israeli and the palestinian sides include both moderate and extremist bodies as well as dovish and hawkish bodies,following outlined positions official positions two parties however important note neither side holds single position both israeli palestinian sides include both moderate extremist bodies well dovish hawkish bodies,0.08214285714285716
p,"One of the primary obstacles to resolving the Israeli–Palestinian conflict is a deep-set and growing distrust between its participants. Unilateral strategies and the rhetoric of hardline political factions, coupled with violence and incitements by civilians against one another, have fostered mutual embitterment and hostility and a loss of faith in the peace process. Support among Palestinians for Hamas is considerable, and as its members consistently call for the destruction of Israel and violence remains a threat,[123] security becomes a prime concern for many Israelis. The expansion of Israeli settlements in the West Bank has led the majority of Palestinians to believe that Israel is not committed to reaching an agreement, but rather to a pursuit of establishing permanent control over this territory in order to provide that security.[124]",one of the primary obstacles to resolving the israelipalestinian conflict is a deepset and growing distrust between its participants unilateral strategies and the rhetoric of hardline political factions coupled with violence and incitements by civilians against one another have fostered mutual embitterment and hostility and a loss of faith in the peace process support among palestinians for hamas is considerable and as its members consistently call for the destruction of israel and violence remains a threat security becomes a prime concern for many israelis the expansion of israeli settlements in the west bank has led the majority of palestinians to believe that israel is not committed to reaching an agreement but rather to a pursuit of establishing permanent control over this territory in order to provide that security,one primary obstacles resolving israelipalestinian conflict deepset growing distrust between participants unilateral strategies rhetoric hardline political factions coupled violence incitements civilians against one another fostered mutual embitterment hostility loss faith peace process support among palestinians hamas considerable members consistently call destruction israel violence remains threat security becomes prime concern many israelis expansion israeli settlements west bank led majority palestinians believe israel committed reaching agreement but rather pursuit establishing permanent control over territory order provide security,0.1
h3,Status of Jerusalem,status of jerusalem,status jerusalem,0.0
p,"The control of Jerusalem is a particularly delicate issue, with each side asserting claims over the city. The three largest Abrahamic religions—Judaism, Christianity, and Islam—hold Jerusalem as an important setting for their religious and historical narratives. Jerusalem is the holiest city for Judaism, being the former location of the Jewish temples on the Temple Mount and the capital of the ancient Israelite kingdom. For Muslims, Jerusalem is the third holiest site, being the location of Isra and Mi'raj event, and the Al-Aqsa Mosque. For Christians, Jerusalem is the site of Jesus' crucifixion and the Church of the Holy Sepulchre.",the control of jerusalem is a particularly delicate issue with each side asserting claims over the city the three largest abrahamic religionsjudaism christianity and islamhold jerusalem as an important setting for their religious and historical narratives jerusalem is the holiest city for judaism being the former location of the jewish temples on the temple mount and the capital of the ancient israelite kingdom for muslims jerusalem is the third holiest site being the location of isra and miraj event and the alaqsa mosque for christians jerusalem is the site of jesus crucifixion and the church of the holy sepulchre,control jerusalem particularly delicate issue each side asserting claims over city three largest abrahamic religionsjudaism christianity islamhold jerusalem important setting religious historical narratives jerusalem holiest city judaism being former location jewish temples temple mount capital ancient israelite kingdom muslims jerusalem third holiest site being location isra miraj event alaqsa mosque christians jerusalem site jesus crucifixion church holy sepulchre,0.01428571428571429
p,"The Israeli government, including the Knesset and Supreme Court, is located in the ""new city"" of West Jerusalem and has been since Israel's founding in 1948. After Israel captured the Jordanian-controlled East Jerusalem in the Six-Day War, it assumed complete administrative control of East Jerusalem. In 1980, Israel passed the Jerusalem Law declaring ""Jerusalem, complete and united, is the capital of Israel.""[125][better source needed]",the israeli government including the knesset and supreme court is located in the new city of west jerusalem and has been since israels founding in  after israel captured the jordaniancontrolled east jerusalem in the sixday war it assumed complete administrative control of east jerusalem in  israel passed the jerusalem law declaring jerusalem complete and united is the capital of israelbetter source needed,israeli government including knesset supreme court located new city west jerusalem been since israels founding after israel captured jordaniancontrolled east jerusalem sixday war assumed complete administrative control east jerusalem israel passed jerusalem law declaring jerusalem complete united capital israelbetter source needed,0.11212121212121212
