Type,Content
p,另外一个以色列内外人士所提议的方案是“一国方案”。这个方案准备以色列先正式地并吞巴勒斯坦领土，然后建立一个不可分割的单一的巴勒斯坦阿拉伯人自治州。纽约教授托尼·朱特支持该方案，对这个建议既有表示赞同的也有表示指责的。实际上它并不是一个新主意，它早在1920年代就存在，但是因为阿拉伯人口数量在以色列领土的突飞猛进而受到越来越多到重视。一些以色列定居者及许多阿拉伯裔以色列人亦支持这个方案，他们希望以色列可以永远地合法拥有西岸地区和加萨走廊，而阿拉伯裔以色列人则宁愿被歧视他们的以色列统治、也不要被腐败暴力的哈玛斯及法塔赫统治，况且阿拉伯裔以色列人可以借由并吞巴勒斯坦来获得大势力。考虑到大量的人口和政治问题可能升级，而且犹太人会担心这样可以借由公投、将以色列给改名成巴勒斯坦，无论如何，它似乎对问题未必会有真正的解决。
p,最近的方案是三国方案，这个方案是放弃建立巴勒斯坦国，而将约旦河西岸并入约旦，加沙地带并入埃及。优点在于埃及及约旦对以色列来说是温和的邻居，而约旦河西岸及加沙地带会有比较好的发展，而且严格来说这样巴勒斯坦国只是改名成约旦；其缺点是约旦无法负担对约旦河西岸的管治，以色列及埃及都害怕穆斯林兄弟会因而得势，也会惹到巴勒斯坦民族主义。
h3,重开巴以和谈[编辑]
p,2013年7月29日，以色列和巴勒斯坦代表星期一在美国首都华盛顿与美国国务卿克里共进晚餐，重启巴以和谈。这是巴以和谈中断三年以来双方代表首次重归谈判桌，然最后谈判破裂以色列和美国开始对巴勒斯坦地区施加软性经济制裁至今。[57]
p,2016年美国唐纳德·特朗普总统上台后开始主导推翻民主党时期中东政策，并单方撕毁伊朗核协议，同时以犹太女婿贾里德·库什纳主导下开始一份名为“世纪协议”的巴以问题方案，[58]该方案主轴非常简单也就是继续加大对巴方经济制裁提升其民众痛苦，之后在极限施压下承诺以大量经济援助交换巴放弃一切政治要求，其策划主体为提供巨量经济投资让10年内巴勒斯坦地区GDP上升一倍，失业率降至10，设立50间医院等，但必须放弃建国立场、放弃一切武力装备[59]、放弃耶路撒冷、放弃以色列占领区等，而经济投资资金由沙特一派国家出资大部分，美国私人公司视情况投资部分，这一部分交换条件为美国出兵消灭伊朗政权，或至少消灭其核武计划设施。[60]
p,巴勒斯坦总统阿巴斯在第一时间声明不会参与此“世纪协议”任何讨论，并认为计划本身“荒谬可悲”，根本毫无约束力能强制美国守约做到其给予的油水，同时主权与意识形态不是可交易商品，不会看在钱的角度卖掉圣城耶路撒冷[60]。同时，美国本土的学者，曾担任美驻埃及和以色列大使的普林斯顿大学教授库尔泽发推特文表示，看完这特朗普女婿筹画两年的世纪计划，若是一张本科生考卷他只能给个“C”。有人[谁？]认为，从他的评论可看出“整群撰写者都是对中东一无所知甚至从没去过的人”，“中东问题若是如此简易便不会成为超过半世纪以来多国外交菁英都无解的死题”。
h2,参见[编辑]
h3,各民族[编辑]
h3,各宗教[编辑]
h3,各地理区域[编辑]
h3,各地点[编辑]
h3,各段历史[编辑]
h3,各意识形态[编辑]
h3,各方武装势力[编辑]
h3,各方人物[编辑]
h4,以色列人[编辑]
h4,巴勒斯坦人[编辑]
h2,参考文献[编辑]
h2,外部链接[编辑]
p,'Link directories'
