Type,Content,content_cleaned,content_segmented,content_processed
p,在以色列建国之后，由埃及、伊拉克、约旦、叙利亚、黎巴嫩等国组成的阿拉伯联军向以色列发起攻击，引发了以色列独立战争，又称第一次中东战争。北边的叙利亚、黎巴嫩和伊拉克军队都在接近边界的地方被阻挡下来，来自东方的约旦军队则攻下耶路撒冷的东部，并且对城市的西部展开攻击。不过，犹太人的民兵部队成功的阻挡了约旦军队，而地下的国民军组织部队伊尔贡也阻止了来自南方的埃及军队。从6月开始，联合国宣布了一个月的停火令，在这段期间里以色列国防军正式成立。在数个月的战斗后，双方在1949年达成一则停火协议并划定暂时的边界，这条边界线称为“绿线”。以色列在约旦河西岸获得了额外的23.5%的管辖领域[10]，约旦则占有以色列南部一块山地区域和撒马利亚，后来合称为西岸地区。埃及在沿海地区占有一小块的土地，后则称加沙地带。,在以色列建国之后由埃及伊拉克约旦叙利亚黎巴嫩等国组成的阿拉伯联军向以色列发起攻击引发了以色列独立战争又称第一次中东战争北边的叙利亚黎巴嫩和伊拉克军队都在接近边界的地方被阻挡下来来自东方的约旦军队则攻下耶路撒冷的东部并且对城市的西部展开攻击不过犹太人的民兵部队成功的阻挡了约旦军队而地下的国民军组织部队伊尔贡也阻止了来自南方的埃及军队从月开始联合国宣布了一个月的停火令在这段期间里以色列国防军正式成立在数个月的战斗后双方在年达成一则停火协议并划定暂时的边界这条边界线称为绿线以色列在约旦河西岸获得了额外的的管辖领域约旦则占有以色列南部一块山地区域和撒马利亚后来合称为西岸地区埃及在沿海地区占有一小块的土地后则称加沙地带,在 以色列 建国 之后 由 埃及 伊拉克 约旦 叙利亚 黎巴嫩 等国 组成 的 阿拉伯 联军 向 以色列 发起 攻击 引发 了 以色列 独立战争 又称 第一次 中东战争 北边 的 叙利亚 黎巴嫩 和 伊拉克 军队 都 在 接近 边界 的 地方 被 阻挡 下来 来自 东方 的 约旦 军队 则 攻下 耶路撒冷 的 东部 并且 对 城市 的 西部 展开 攻击 不过 犹太人 的 民兵 部队 成功 的 阻挡 了 约旦 军队 而 地下 的 国民军 组织 部队 伊尔 贡 也 阻止 了 来自 南方 的 埃及 军队 从 月 开始 联合国 宣布 了 一个月 的 停火 令 在 这段 期间 里 以色列国防军 正式 成立 在 数个 月 的 战斗 后 双方 在 年 达成 一则 停火协议 并 划定 暂时 的 边界 这 条 边界线 称为 绿线 以色列 在 约旦河西岸 获得 了 额外 的 的 管辖 领域 约旦 则 占有 以色列 南部 一块 山地 区域 和 撒 马利亚 后来 合 称为 西岸地区 埃及 在 沿海地区 占有 一小块 的 土地 后 则 称 加沙 地带,以色列 建国 之后 由 埃及 伊拉克 约旦 叙利亚 黎巴嫩 等国 组成 阿拉伯 联军 向 以色列 发起 攻击 引发 以色列 独立战争 又称 第一次 中东战争 北边 叙利亚 黎巴嫩 伊拉克 军队 接近 边界 地方 被 阻挡 下来 来自 东方 约旦 军队 则 攻下 耶路撒冷 东部 并且 对 城市 西部 展开 攻击 不过 犹太人 民兵 部队 成功 阻挡 约旦 军队 而 地下 国民军 组织 部队 伊尔 贡 阻止 来自 南方 埃及 军队 从 月 开始 联合国 宣布 一个月 停火 令 这段 期间 里 以色列国防军 正式 成立 数个 月 战斗 后 双方 年 达成 一则 停火协议 并 划定 暂时 边界 条 边界线 称为 绿线 以色列 约旦河西岸 获得 额外 管辖 领域 约旦 则 占有 以色列 南部 一块 山地 区域 撒 马利亚 后来 合 称为 西岸地区 埃及 沿海地区 占有 一小块 土地 后 则 称 加沙 地带
p,"大量的阿拉伯人口在战争中逃离新成立的犹太国家，阿拉伯人将此次流亡称为“大灾难”（النكبة‎, Nakbah），估计有400,000至900,000名阿拉伯人流亡，后来称为巴勒斯坦难民，联合国估计有711,000人[11]。战争结束后，以色列不许这些巴勒斯坦难民重返家园。以色列与阿拉伯国家之间未解决的冲突、以及巴勒斯坦难民的问题一直持续至今。随着1948年的战争，西岸地区和加沙地带的犹太人口开始迁入以色列，大量来自阿拉伯国家的犹太人移民使得以色列的人口遽增了两倍。在接下来几年里将近850,000名瑟法底犹太人从阿拉伯国家逃离或遭驱逐，其中约有600,000人迁移至以色列。该地区犹太人口在以色列建国一年多后翻倍，由此开始超过阿拉伯人口。",大量的阿拉伯人口在战争中逃离新成立的犹太国家阿拉伯人将此次流亡称为大灾难估计有至名阿拉伯人流亡后来称为巴勒斯坦难民联合国估计有人战争结束后以色列不许这些巴勒斯坦难民重返家园以色列与阿拉伯国家之间未解决的冲突以及巴勒斯坦难民的问题一直持续至今随着年的战争西岸地区和加沙地带的犹太人口开始迁入以色列大量来自阿拉伯国家的犹太人移民使得以色列的人口遽增了两倍在接下来几年里将近名瑟法底犹太人从阿拉伯国家逃离或遭驱逐其中约有人迁移至以色列该地区犹太人口在以色列建国一年多后翻倍由此开始超过阿拉伯人口,大量 的 阿拉伯 人口 在 战争 中 逃离 新 成立 的 犹太 国家 阿拉伯人 将 此次 流亡 称为 大灾难 估计 有 至名 阿拉伯人 流亡 后来 称为 巴勒斯坦 难民 联合国 估计 有人 战争 结束 后 以色列 不许 这些 巴勒斯坦 难民 重返家园 以色列 与 阿拉伯 国家 之间 未 解决 的 冲突 以及 巴勒斯坦 难民 的 问题 一直 持续 至今 随着 年 的 战争 西岸地区 和 加沙 地带 的 犹太人 口 开始 迁入 以色列 大量 来自 阿拉伯 国家 的 犹太人 移民 使得 以色列 的 人口 遽 增 了 两倍 在 接下来 几年 里 将近 名瑟法底 犹太人 从 阿拉伯 国家 逃离 或 遭 驱逐 其中 约 有人 迁移 至 以色列 该 地区 犹太人 口 在 以色列 建国 一年 多后 翻倍 由此 开始 超过 阿拉伯 人口,大量 阿拉伯 人口 战争 中 逃离 新 成立 犹太 国家 阿拉伯人 将 此次 流亡 称为 大灾难 估计 至名 阿拉伯人 流亡 后来 称为 巴勒斯坦 难民 联合国 估计 有人 战争 结束 后 以色列 不许 这些 巴勒斯坦 难民 重返家园 以色列 与 阿拉伯 国家 之间 未 解决 冲突 以及 巴勒斯坦 难民 问题 一直 持续 至今 随着 年 战争 西岸地区 加沙 地带 犹太人 口 开始 迁入 以色列 大量 来自 阿拉伯 国家 犹太人 移民 使得 以色列 人口 遽 增 两倍 接下来 几年 里 将近 名瑟法底 犹太人 从 阿拉伯 国家 逃离 或 遭 驱逐 其中 约 有人 迁移 至 以色列 该 地区 犹太人 口 以色列 建国 一年 多后 翻倍 由此 开始 超过 阿拉伯 人口
p,以色列和阿拉伯国家的关系在1956年再次紧绷。埃及在1956年将英法控制的苏伊士运河收归国有，引发以色列、英国和法国不满。以色列秘密地与英法两国结盟，对埃及宣战。在苏伊士运河危机后，英法以三国的行动遭到国际社会的普遍指责。作为三国盟友的美国也不满这次秘密行动，他们将英法的侵略看作是殖民主义的再次体现。英法以三国遭到联合国的谴责，以色列后从西奈半岛撤军。,以色列和阿拉伯国家的关系在年再次紧绷埃及在年将英法控制的苏伊士运河收归国有引发以色列英国和法国不满以色列秘密地与英法两国结盟对埃及宣战在苏伊士运河危机后英法以三国的行动遭到国际社会的普遍指责作为三国盟友的美国也不满这次秘密行动他们将英法的侵略看作是殖民主义的再次体现英法以三国遭到联合国的谴责以色列后从西奈半岛撤军,以色列 和 阿拉伯 国家 的 关系 在 年 再次 紧绷 埃及 在 年 将 英法 控制 的 苏伊士运河 收归国有 引发 以色列 英国 和 法国 不满 以色列 秘密 地 与 英法 两 国 结盟 对 埃及 宣战 在 苏伊士运河 危机 后 英法 以 三国 的 行动 遭到 国际 社会 的 普遍 指责 作为 三国 盟友 的 美国 也 不满 这次 秘密行动 他们 将 英法 的 侵略 看作 是 殖民主义 的 再次 体现 英法 以 三国 遭到 联合国 的 谴责 以色列 后 从 西奈半岛 撤军,以色列 阿拉伯 国家 关系 年 再次 紧绷 埃及 年 将 英法 控制 苏伊士运河 收归国有 引发 以色列 英国 法国 不满 以色列 秘密 地 与 英法 两 国 结盟 对 埃及 宣战 苏伊士运河 危机 后 英法 以 三国 行动 遭到 国际 社会 普遍 指责 作为 三国 盟友 美国 不满 这次 秘密行动 他们 将 英法 侵略 看作 殖民主义 再次 体现 英法 以 三国 遭到 联合国 谴责 以色列 后 从 西奈半岛 撤军
p,1967年5月，叙利亚、约旦、埃及透露了开战的可能[12]，埃及驱逐了在加沙地带的联合国维和部队，并封锁了以色列战略要地的堤蓝海峡，接着又在以色列边界部署大量的战车和战机。以色列于是在6月5日对埃及展开攻势，击败了所有阿拉伯的军队，并且在空军战场上获得完全的胜利。此次战争被称为第三次中东战争，又称六日战争。以色列一口气夺下了整个西岸地区、加沙地带、西奈半岛、和戈兰高地，1949年划定的绿线则变成以色列管辖本国领土和占领区域的行政分界线。,年月叙利亚约旦埃及透露了开战的可能埃及驱逐了在加沙地带的联合国维和部队并封锁了以色列战略要地的堤蓝海峡接着又在以色列边界部署大量的战车和战机以色列于是在月日对埃及展开攻势击败了所有阿拉伯的军队并且在空军战场上获得完全的胜利此次战争被称为第三次中东战争又称六日战争以色列一口气夺下了整个西岸地区加沙地带西奈半岛和戈兰高地年划定的绿线则变成以色列管辖本国领土和占领区域的行政分界线,年 月 叙利亚 约旦 埃及 透露 了 开战 的 可能 埃及 驱逐 了 在 加沙 地带 的 联合国 维和部队 并 封锁 了 以色列 战略要地 的 堤 蓝 海峡 接着 又 在 以色列 边界 部署 大量 的 战车 和 战机 以色列 于是 在 月 日 对 埃及 展开攻势 击败 了 所有 阿拉伯 的 军队 并且 在 空军 战场 上 获得 完全 的 胜利 此次 战争 被 称为 第三次 中东战争 又称 六日 战争 以色列 一口气 夺下 了 整个 西岸地区 加沙 地带 西奈半岛 和 戈兰高地 年 划定 的 绿线 则 变成 以色列 管辖 本国 领土 和 占领 区域 的 行政 分界线,年 月 叙利亚 约旦 埃及 透露 开战 可能 埃及 驱逐 加沙 地带 联合国 维和部队 并 封锁 以色列 战略要地 堤 蓝 海峡 接着 又 以色列 边界 部署 大量 战车 战机 以色列 于是 月 日 对 埃及 展开攻势 击败 所有 阿拉伯 军队 并且 空军 战场 获得 完全 胜利 此次 战争 被 称为 第三次 中东战争 又称 六日 战争 以色列 一口气 夺下 整个 西岸地区 加沙 地带 西奈半岛 戈兰高地 年 划定 绿线 则 变成 以色列 管辖 本国 领土 占领 区域 行政 分界线
p,1973年10月6日，正值犹太教的赎罪日当天，埃及和叙利亚等阿拉伯联军对以色列发起突袭攻势，分别攻击六年前六日战争中被以色列占领的西奈半岛和戈兰高地。巴勒斯坦也派出部队支援阿拉伯联军，是为第四次中东战争，又称赎罪日战争。作为代理人战争，苏联支持阿拉伯国家，美国支持以色列；尽管阿拉伯联军在战争初期成功打击准备不足的以色列军队，随着美军向以色列提供卫星侦察结果，主导制定战略，并紧急调遣美国空军F-4鬼怪式多用途战机，在涂改军徽后，由美国飞行员从美国本土起飞，经多次加油飞至以色列，作为以色列空军直接参战，埃及和叙利亚最终仍被以色列击退。战后的几年局势变得较为平静，以色列和埃及终得签署和平协议。,年月日正值犹太教的赎罪日当天埃及和叙利亚等阿拉伯联军对以色列发起突袭攻势分别攻击六年前六日战争中被以色列占领的西奈半岛和戈兰高地巴勒斯坦也派出部队支援阿拉伯联军是为第四次中东战争又称赎罪日战争作为代理人战争苏联支持阿拉伯国家美国支持以色列尽管阿拉伯联军在战争初期成功打击准备不足的以色列军队随着美军向以色列提供卫星侦察结果主导制定战略并紧急调遣美国空军鬼怪式多用途战机在涂改军徽后由美国飞行员从美国本土起飞经多次加油飞至以色列作为以色列空军直接参战埃及和叙利亚最终仍被以色列击退战后的几年局势变得较为平静以色列和埃及终得签署和平协议,年月日 正值 犹太教 的 赎罪 日 当天 埃及 和 叙利亚 等 阿拉伯 联军 对 以色列 发起 突袭 攻势 分别 攻击 六年 前 六日 战争 中 被 以色列 占领 的 西奈半岛 和 戈兰高地 巴勒斯坦 也 派出 部队 支援 阿拉伯 联军 是 为 第四次 中东战争 又称 赎罪 日 战争 作为 代理人 战争 苏联 支持 阿拉伯 国家 美国 支持 以色列 尽管 阿拉伯 联军 在 战争初期 成功 打击 准备 不足 的 以色列 军队 随着 美军 向 以色列 提供 卫星侦察 结果 主导 制定 战略 并 紧急 调遣 美国空军 鬼怪式 多用途 战机 在 涂改 军徽 后 由 美国 飞行员 从 美国 本土 起飞 经 多次 加油 飞 至 以色列 作为 以色列空军 直接 参战 埃及 和 叙利亚 最终 仍 被 以色列 击退 战后 的 几年 局势 变得 较为 平静 以色列 和 埃及 终得 签署 和平 协议,年月日 正值 犹太教 赎罪 日 当天 埃及 叙利亚 等 阿拉伯 联军 对 以色列 发起 突袭 攻势 分别 攻击 六年 前 六日 战争 中 被 以色列 占领 西奈半岛 戈兰高地 巴勒斯坦 派出 部队 支援 阿拉伯 联军 为 第四次 中东战争 又称 赎罪 日 战争 作为 代理人 战争 苏联 支持 阿拉伯 国家 美国 支持 以色列 尽管 阿拉伯 联军 战争初期 成功 打击 准备 不足 以色列 军队 随着 美军 向 以色列 提供 卫星侦察 结果 主导 制定 战略 并 紧急 调遣 美国空军 鬼怪式 多用途 战机 涂改 军徽 后 由 美国 飞行员 从 美国 本土 起飞 经 多次 加油 飞 至 以色列 作为 以色列空军 直接 参战 埃及 叙利亚 最终 仍 被 以色列 击退 战后 几年 局势 变得 较为 平静 以色列 埃及 终得 签署 和平 协议
p,为了报复美国支援以色列，阿拉伯石油输出国组织（OAPEC）、石油输出国组织（OPEC）里的阿拉伯国家，由沙特阿拉伯领导，在10月17日决定每个月减低石油产量5%，并威胁彻底禁运。然而美国总统尼克森还是在10月18日向美国国会请求提供了以色列22亿美元的军火。利比亚立即宣布对美国实行石油禁运。由此又导致第一次石油危机，直至1978年，在美国斡旋下签订《戴维营协议》，以色列将西奈半岛还给埃及，“石油危机”得以缓解。,为了报复美国支援以色列阿拉伯石油输出国组织石油输出国组织里的阿拉伯国家由沙特阿拉伯领导在月日决定每个月减低石油产量并威胁彻底禁运然而美国总统尼克森还是在月日向美国国会请求提供了以色列亿美元的军火利比亚立即宣布对美国实行石油禁运由此又导致第一次石油危机直至年在美国斡旋下签订戴维营协议以色列将西奈半岛还给埃及石油危机得以缓解,为了 报复 美国 支援 以色列 阿拉伯 石油输出国组织 石油输出国组织 里 的 阿拉伯 国家 由 沙特阿拉伯 领导 在 月 日 决定 每个 月 减低 石油 产量 并 威胁 彻底 禁运 然而 美国 总统 尼克森 还是 在 月 日 向 美国国会 请求 提供 了 以色列 亿美元 的 军火 利比亚 立即 宣布 对 美国 实行 石油 禁运 由此 又 导致 第一次 石油危机 直至 年 在 美国 斡旋 下 签订 戴维营 协议 以色列 将 西奈半岛 还给 埃及 石油危机 得以 缓解,为了 报复 美国 支援 以色列 阿拉伯 石油输出国组织 石油输出国组织 里 阿拉伯 国家 由 沙特阿拉伯 领导 月 日 决定 每个 月 减低 石油 产量 并 威胁 彻底 禁运 然而 美国 总统 尼克森 还是 月 日 向 美国国会 请求 提供 以色列 亿美元 军火 利比亚 立即 宣布 对 美国 实行 石油 禁运 由此 又 导致 第一次 石油危机 直至 年 美国 斡旋 下 签订 戴维营 协议 以色列 将 西奈半岛 还给 埃及 石油危机 得以 缓解
p,"在1982年，以色列在其驻英国大使被巴勒斯坦枪手枪击重伤后，出动陆海空军100,000多名部队，对黎巴嫩境内的巴勒斯坦解放组织和叙利亚军队发动了大规模的进攻，几天时间就占领了黎巴嫩的南半部，并卷入自从1975年以来一直进行的黎巴嫩内战。以色列的开战理由为保护以色列在北方的定居点，当时这些定居点经常受到来自黎巴嫩的恐怖袭击。在建立了四十公里的障碍区后，以色列国防军继续前进，甚至攻下了首都贝鲁特。以色列军队将巴勒斯坦解放组织逐出了黎巴嫩，迫使巴解转移基地至突尼斯。是为黎巴嫩战争。以色列最后在1986年撤出了大部分在黎巴嫩的军队，边界的缓冲地带则一直被维持着，直到2000年以色列进行单方面的撤军。",在年以色列在其驻英国大使被巴勒斯坦枪手枪击重伤后出动陆海空军多名部队对黎巴嫩境内的巴勒斯坦解放组织和叙利亚军队发动了大规模的进攻几天时间就占领了黎巴嫩的南半部并卷入自从年以来一直进行的黎巴嫩内战以色列的开战理由为保护以色列在北方的定居点当时这些定居点经常受到来自黎巴嫩的恐怖袭击在建立了四十公里的障碍区后以色列国防军继续前进甚至攻下了首都贝鲁特以色列军队将巴勒斯坦解放组织逐出了黎巴嫩迫使巴解转移基地至突尼斯是为黎巴嫩战争以色列最后在年撤出了大部分在黎巴嫩的军队边界的缓冲地带则一直被维持着直到年以色列进行单方面的撤军,在 年 以色列 在 其 驻 英国 大使 被 巴勒斯坦 枪手 枪击 重伤 后 出动 陆海空军 多名 部队 对 黎巴嫩 境内 的 巴勒斯坦解放组织 和 叙利亚 军队 发动 了 大规模 的 进攻 几天 时间 就 占领 了 黎巴嫩 的 南半部 并 卷入 自从 年 以来 一直 进行 的 黎巴嫩 内战 以色列 的 开战 理由 为 保护 以色列 在 北方 的 定居点 当时 这些 定居点 经常 受到 来自 黎巴嫩 的 恐怖袭击 在 建立 了 四十公里 的 障碍 区后 以色列国防军 继续前进 甚至 攻下 了 首都 贝鲁特 以色列 军队 将 巴勒斯坦解放组织 逐出 了 黎巴嫩 迫使 巴解 转移 基地 至 突尼斯 是 为 黎巴嫩 战争 以色列 最后 在 年 撤出 了 大部分 在 黎巴嫩 的 军队 边界 的 缓冲地带 则 一直 被 维持 着 直到 年 以色列 进行 单方面 的 撤军,年 以色列 其 驻 英国 大使 被 巴勒斯坦 枪手 枪击 重伤 后 出动 陆海空军 多名 部队 对 黎巴嫩 境内 巴勒斯坦解放组织 叙利亚 军队 发动 大规模 进攻 几天 时间 占领 黎巴嫩 南半部 并 卷入 自从 年 以来 一直 进行 黎巴嫩 内战 以色列 开战 理由 为 保护 以色列 北方 定居点 当时 这些 定居点 经常 受到 来自 黎巴嫩 恐怖袭击 建立 四十公里 障碍 区后 以色列国防军 继续前进 甚至 攻下 首都 贝鲁特 以色列 军队 将 巴勒斯坦解放组织 逐出 黎巴嫩 迫使 巴解 转移 基地 至 突尼斯 为 黎巴嫩 战争 以色列 最后 年 撤出 大部分 黎巴嫩 军队 边界 缓冲地带 则 一直 被 维持 直到 年 以色列 进行 单方面 撤军
p,除以上大规模战争外，以阿间还爆发了多次非战争流血冲突。1968年至1972年这段期间称为消耗战争，以色列和叙利亚、埃及间的边界频繁爆发许多小规模的冲突。除此之外，在1970年代早期，巴勒斯坦武装组织开始对以色列和各国的犹太人展开恐怖攻击，在1972年夏季奥林匹克运动会中爆发了慕尼黑惨案，巴勒斯坦的武装民兵挟持以色列的代表团运动员作为人质，最后所有人质皆遭杀害。以色列对此展开了报复性的“不老泉行动”乃至“天谴行动”，由一群以色列情报特务局（俗称摩萨德）的特工在世界各地暗杀筹划慕尼黑惨案的幕后凶手。,除以上大规模战争外以阿间还爆发了多次非战争流血冲突年至年这段期间称为消耗战争以色列和叙利亚埃及间的边界频繁爆发许多小规模的冲突除此之外在年代早期巴勒斯坦武装组织开始对以色列和各国的犹太人展开恐怖攻击在年夏季奥林匹克运动会中爆发了慕尼黑惨案巴勒斯坦的武装民兵挟持以色列的代表团运动员作为人质最后所有人质皆遭杀害以色列对此展开了报复性的不老泉行动乃至天谴行动由一群以色列情报特务局俗称摩萨德的特工在世界各地暗杀筹划慕尼黑惨案的幕后凶手,除 以上 大规模 战争 外以 阿间 还 爆发 了 多次 非 战争 流血冲突 年 至 年 这段 期间 称为 消耗 战争 以色列 和 叙利亚 埃及 间 的 边界 频繁 爆发 许多 小规模 的 冲突 除此之外 在 年代 早期 巴勒斯坦 武装 组织 开始 对 以色列 和 各国 的 犹太人 展开 恐怖 攻击 在 年 夏季 奥林匹克运动会 中 爆发 了 慕尼黑 惨案 巴勒斯坦 的 武装 民兵 挟持 以色列 的 代表团 运动员 作为 人质 最后 所有人 质皆遭 杀害 以色列 对此 展开 了 报复性 的 不老泉 行动 乃至 天 谴 行动 由 一群 以色列 情报 特务 局 俗称 摩萨德 的 特工 在 世界各地 暗杀 筹划 慕尼黑 惨案 的 幕后 凶手,除 以上 大规模 战争 外以 阿间 还 爆发 多次 非 战争 流血冲突 年 至 年 这段 期间 称为 消耗 战争 以色列 叙利亚 埃及 间 边界 频繁 爆发 许多 小规模 冲突 除此之外 年代 早期 巴勒斯坦 武装 组织 开始 对 以色列 各国 犹太人 展开 恐怖 攻击 年 夏季 奥林匹克运动会 中 爆发 慕尼黑 惨案 巴勒斯坦 武装 民兵 挟持 以色列 代表团 运动员 作为 人质 最后 所有人 质皆遭 杀害 以色列 对此 展开 报复性 不老泉 行动 乃至 天 谴 行动 由 一群 以色列 情报 特务 局 俗称 摩萨德 特工 世界各地 暗杀 筹划 慕尼黑 惨案 幕后 凶手
p,在1987年爆发的巴勒斯坦大起义引燃了占领区域的一连串暴动。加沙的巴勒斯坦人怒火中烧，走上街头，采用游行、罢工、抵制美以货物等和平方式，不与占领当局合作，展开与以色列当局持续数年的对抗。巴勒斯坦解放组织总部当时设在突尼斯，“哈马斯”组织被猜度为幕后指挥者。在那次起义中，巴勒斯坦人创造出以落后“冷兵器”向以色列示威的斗争方式，即以青少年在街头投掷石块、自制燃烧瓶与现代武装的军警对抗；这次起义到1993年《奥斯陆协议》签署之后才告一结束。,在年爆发的巴勒斯坦大起义引燃了占领区域的一连串暴动加沙的巴勒斯坦人怒火中烧走上街头采用游行罢工抵制美以货物等和平方式不与占领当局合作展开与以色列当局持续数年的对抗巴勒斯坦解放组织总部当时设在突尼斯哈马斯组织被猜度为幕后指挥者在那次起义中巴勒斯坦人创造出以落后冷兵器向以色列示威的斗争方式即以青少年在街头投掷石块自制燃烧瓶与现代武装的军警对抗这次起义到年奥斯陆协议签署之后才告一结束,在 年 爆发 的 巴勒斯坦 大 起义 引燃 了 占领 区域 的 一连串 暴动 加沙 的 巴勒斯坦人 怒火中烧 走上 街头 采用 游行 罢工 抵制 美以 货物 等 和平 方式 不 与 占领 当局 合作 展开 与 以色列 当局 持续 数年 的 对抗 巴勒斯坦解放组织 总部 当时 设在 突尼斯 哈马斯 组织 被 猜度 为 幕后指挥 者 在 那次 起义 中 巴勒斯坦人 创造 出以 落后 冷兵器 向 以色列 示威 的 斗争方式 即以 青少年 在 街头 投掷 石块 自制 燃烧瓶 与 现代 武装 的 军警 对抗 这次 起义 到 年 奥斯陆 协议 签署 之后 才告 一 结束,年 爆发 巴勒斯坦 大 起义 引燃 占领 区域 一连串 暴动 加沙 巴勒斯坦人 怒火中烧 走上 街头 采用 游行 罢工 抵制 美以 货物 等 和平 方式 与 占领 当局 合作 展开 与 以色列 当局 持续 数年 对抗 巴勒斯坦解放组织 总部 当时 设在 突尼斯 哈马斯 组织 被 猜度 为 幕后指挥 者 那次 起义 中 巴勒斯坦人 创造 出以 落后 冷兵器 向 以色列 示威 斗争方式 即以 青少年 街头 投掷 石块 自制 燃烧瓶 与 现代 武装 军警 对抗 这次 起义 年 奥斯陆 协议 签署 之后 才告 结束
p,在1979年3月，贝京和沙达特在美国首都华府达成《以色列-埃及和平条约》。随着条约的签订，以色列从西奈半岛撤军，并且撤离了自从1970年代开始在那里建立的移民区。以色列也同意以1949年划定的绿线为基础赋予巴勒斯坦人自治权，而非1947年联大181决议提出的界限。以色列坚持以耶路撒冷为其首都，并正式定为法律。,在年月贝京和沙达特在美国首都华府达成以色列埃及和平条约随着条约的签订以色列从西奈半岛撤军并且撤离了自从年代开始在那里建立的移民区以色列也同意以年划定的绿线为基础赋予巴勒斯坦人自治权而非年联大决议提出的界限以色列坚持以耶路撒冷为其首都并正式定为法律,在 年 月 贝京 和 沙达特 在 美国 首都 华府 达成 以色列 埃及 和平 条约 随着 条约 的 签订 以色列 从 西奈半岛 撤军 并且 撤离 了 自从 年代 开始 在 那里 建立 的 移民区 以色列 也 同意 以年 划定 的 绿线 为 基础 赋予 巴勒斯坦人 自治权 而 非年 联大 决议 提出 的 界限 以色列 坚持 以 耶路撒冷 为 其 首都 并 正式 定为 法律,年 月 贝京 沙达特 美国 首都 华府 达成 以色列 埃及 和平 条约 随着 条约 签订 以色列 从 西奈半岛 撤军 并且 撤离 自从 年代 开始 那里 建立 移民区 以色列 同意 以年 划定 绿线 为 基础 赋予 巴勒斯坦人 自治权 而 非年 联大 决议 提出 界限 以色列 坚持 以 耶路撒冷 为 其 首都 并 正式 定为 法律
h3,1993－2000：奥斯陆和平进程[编辑],奥斯陆和平进程编辑,奥斯陆 和平 进程 编辑,奥斯陆 和平 进程 编辑
p,在1992年选举中，伊扎克·拉宾当选总理，相隔十五年后再度主政。在竞选时，工党曾承诺将会大力改善以色列的国内治安和与阿拉伯国家的关系。到了1993年底，以色列的工党政府抛弃了1991年的马德里协议框架，改与巴解直接签订《奥斯陆协议》。,在年选举中伊扎克拉宾当选总理相隔十五年后再度主政在竞选时工党曾承诺将会大力改善以色列的国内治安和与阿拉伯国家的关系到了年底以色列的工党政府抛弃了年的马德里协议框架改与巴解直接签订奥斯陆协议,在 年 选举 中伊 扎克 拉宾 当选 总理 相隔 十五年 后 再度 主政 在 竞选 时 工党 曾 承诺 将会 大力 改善 以色列 的 国内 治安 和 与 阿拉伯 国家 的 关系 到 了 年底 以色列 的 工党 政府 抛弃 了 年 的 马德里 协议 框架 改与 巴解 直接 签订 奥斯陆 协议,年 选举 中伊 扎克 拉宾 当选 总理 相隔 十五年 后 再度 主政 竞选 时 工党 曾 承诺 将会 大力 改善 以色列 国内 治安 与 阿拉伯 国家 关系 年底 以色列 工党 政府 抛弃 年 马德里 协议 框架 改与 巴解 直接 签订 奥斯陆 协议
p,最初以色列大众广泛支持奥斯陆协议，然而在协议签订之后以色列仍然持续遭到哈马斯武装团体的频繁攻击，协议受到的支持也开始大量减少。在1995年11月4日，拉宾遭到极端的以色列民族主义者伊盖尔·阿米尔刺杀。,最初以色列大众广泛支持奥斯陆协议然而在协议签订之后以色列仍然持续遭到哈马斯武装团体的频繁攻击协议受到的支持也开始大量减少在年月日拉宾遭到极端的以色列民族主义者伊盖尔阿米尔刺杀,最初 以色列 大众 广泛支持 奥斯陆 协议 然而 在 协议 签订 之后 以色列 仍然 持续 遭到 哈马斯 武装 团体 的 频繁 攻击 协议 受到 的 支持 也 开始 大量 减少 在 年月日 拉宾 遭到 极端 的 以色列 民族主义者 伊 盖尔 阿米尔 刺杀,最初 以色列 大众 广泛支持 奥斯陆 协议 然而 协议 签订 之后 以色列 仍然 持续 遭到 哈马斯 武装 团体 频繁 攻击 协议 受到 支持 开始 大量 减少 年月日 拉宾 遭到 极端 以色列 民族主义者 伊 盖尔 阿米尔 刺杀
